taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
green,2,2017-01-01T00:01:28.000+08:00,2017-01-01T00:12:37.000+08:00,N,1,215,10,,,,,1,2.79,10.5,0.5,0.5,0.0,0.0,,0.3,13.75,1,1,1,0,1,28,2017-01-01,2017,1,1,0,12,37,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Queens,South Jamaica,Boro Zone,Queens,Baisley Park,Boro Zone
green,2,2017-01-01T00:15:14.000+08:00,2017-01-01T00:18:11.000+08:00,N,1,25,25,,,,,1,0.78,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1,1,0,15,14,2017-01-01,2017,1,1,0,18,11,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Boerum Hill,Boro Zone,Brooklyn,Boerum Hill,Boro Zone
green,2,2017-01-01T00:43:45.000+08:00,2017-01-01T00:55:45.000+08:00,N,1,130,205,,,,,3,3.8,13.0,0.5,0.5,0.0,0.0,,0.3,14.3,2,1,1,0,43,45,2017-01-01,2017,1,1,0,55,45,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,Jamaica,Boro Zone,Queens,Saint Albans,Boro Zone
green,2,2017-01-01T00:30:04.000+08:00,2017-01-01T00:56:48.000+08:00,N,1,82,249,,,,,1,9.43,31.0,0.5,0.5,0.0,0.0,,0.3,32.3,2,1,1,0,30,4,2017-01-01,2017,1,1,0,56,48,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,Elmhurst,Boro Zone,Manhattan,West Village,Yellow Zone
green,2,2017-01-01T00:02:52.000+08:00,2017-01-01T00:12:02.000+08:00,N,1,129,173,,,,,1,1.45,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2,1,1,0,2,52,2017-01-01,2017,1,1,0,12,2,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,Jackson Heights,Boro Zone,Queens,North Corona,Boro Zone
green,2,2017-01-01T00:05:27.000+08:00,2017-01-01T00:13:04.000+08:00,N,1,7,7,,,,,1,1.67,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1,1,0,5,27,2017-01-01,2017,1,1,0,13,4,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,Astoria,Boro Zone,Queens,Astoria,Boro Zone
green,2,2017-01-01T00:00:22.000+08:00,2017-01-01T00:06:58.000+08:00,N,1,61,225,,,,,3,1.84,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1,1,0,0,22,2017-01-01,2017,1,1,0,6,58,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Crown Heights North,Boro Zone,Brooklyn,Stuyvesant Heights,Boro Zone
green,2,2017-01-01T00:02:31.000+08:00,2017-01-01T00:22:33.000+08:00,N,1,256,129,,,,,1,6.27,21.5,0.5,0.5,0.0,0.0,,0.3,22.8,2,1,1,0,2,31,2017-01-01,2017,1,1,0,22,33,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Williamsburg (South Side),Boro Zone,Queens,Jackson Heights,Boro Zone
green,2,2017-01-01T00:17:57.000+08:00,2017-01-01T00:40:07.000+08:00,N,1,95,229,,,,,1,10.7,31.5,0.5,0.5,0.0,5.54,,0.3,38.34,1,1,1,0,17,57,2017-01-01,2017,1,1,0,40,7,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Queens,Forest Hills,Boro Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
green,2,2017-01-01T00:01:18.000+08:00,2017-01-01T00:11:21.000+08:00,N,1,41,74,,,,,1,1.55,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1,1,0,1,18,2017-01-01,2017,1,1,0,11,21,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,East Harlem North,Boro Zone
green,2,2017-01-01T00:29:47.000+08:00,2017-01-01T00:43:22.000+08:00,N,1,7,129,,,,,1,2.69,11.5,0.5,0.5,0.0,0.0,,0.3,12.8,2,1,1,0,29,47,2017-01-01,2017,1,1,0,43,22,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,Astoria,Boro Zone,Queens,Jackson Heights,Boro Zone
green,2,2017-01-01T00:01:57.000+08:00,2017-01-01T00:02:01.000+08:00,N,5,75,75,,,,,1,0.0,5.0,0.0,0.0,2.0,0.0,,0.0,7.0,1,2,1,0,1,57,2017-01-01,2017,1,1,0,2,1,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Negotiated fare,Manhattan,East Harlem South,Boro Zone,Manhattan,East Harlem South,Boro Zone
green,2,2017-01-01T00:15:21.000+08:00,2017-01-01T00:28:06.000+08:00,N,1,112,37,,,,,1,2.83,11.0,0.5,0.5,0.0,0.0,,0.3,12.3,2,1,1,0,15,21,2017-01-01,2017,1,1,0,28,6,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Greenpoint,Boro Zone,Brooklyn,Bushwick South,Boro Zone
green,2,2017-01-01T00:45:17.000+08:00,2017-01-01T01:07:30.000+08:00,N,1,152,213,,,,,1,7.17,23.0,0.5,0.5,0.0,0.0,,0.3,24.3,2,1,1,0,45,17,2017-01-01,2017,1,1,1,7,30,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Manhattan,Manhattanville,Boro Zone,Bronx,Soundview/Castle Hill,Boro Zone
green,2,2017-01-01T00:10:55.000+08:00,2017-01-01T00:19:02.000+08:00,N,1,95,56,,,,,1,1.55,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1,1,0,10,55,2017-01-01,2017,1,1,0,19,2,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Queens,Forest Hills,Boro Zone,Queens,Corona,Boro Zone
green,2,2017-01-01T00:55:05.000+08:00,2017-01-01T01:16:21.000+08:00,N,1,33,67,,,,,1,7.79,24.5,0.5,0.5,0.0,0.0,,0.3,25.8,2,1,1,0,55,5,2017-01-01,2017,1,1,1,16,21,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Brooklyn,Brooklyn Heights,Boro Zone,Brooklyn,Dyker Heights,Boro Zone
green,2,2017-01-01T00:01:17.000+08:00,2017-01-01T00:09:38.000+08:00,N,1,41,238,,,,,1,1.61,8.5,0.5,0.5,1.96,0.0,,0.3,11.76,1,1,1,0,1,17,2017-01-01,2017,1,1,0,9,38,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,Upper West Side North,Yellow Zone
green,2,2017-01-01T00:09:14.000+08:00,2017-01-01T00:18:39.000+08:00,N,1,153,244,,,,,1,3.6,12.5,0.5,0.5,0.0,0.0,,0.3,13.8,2,1,1,0,9,14,2017-01-01,2017,1,1,0,18,39,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Manhattan,Marble Hill,Boro Zone,Manhattan,Washington Heights South,Boro Zone
green,2,2017-01-01T00:56:29.000+08:00,2017-01-01T01:01:42.000+08:00,N,1,24,43,,,,,1,0.89,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1,1,0,56,29,2017-01-01,2017,1,1,1,1,42,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Manhattan,Bloomingdale,Yellow Zone,Manhattan,Central Park,Yellow Zone
green,2,2017-01-01T00:01:15.000+08:00,2017-01-01T00:11:05.000+08:00,N,1,42,166,,,,,1,1.71,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,2,1,1,0,1,15,2017-01-01,2017,1,1,0,11,5,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Manhattan,Central Harlem North,Boro Zone,Manhattan,Morningside Heights,Boro Zone
green,2,2017-01-01T00:01:35.000+08:00,2017-01-01T00:06:00.000+08:00,N,1,41,75,,,,,1,0.59,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,1,1,1,0,1,35,2017-01-01,2017,1,1,0,6,0,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Manhattan,Central Harlem,Boro Zone,Manhattan,East Harlem South,Boro Zone
green,2,2017-01-01T00:01:19.000+08:00,2017-01-01T00:20:00.000+08:00,N,1,256,181,,,,,1,8.27,24.5,0.5,0.5,5.16,0.0,,0.3,30.96,1,1,1,0,1,19,2017-01-01,2017,1,1,0,20,0,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Brooklyn,Williamsburg (South Side),Boro Zone,Brooklyn,Park Slope,Boro Zone
green,2,2017-01-01T00:00:19.000+08:00,2017-01-01T00:07:04.000+08:00,N,1,166,238,,,,,1,1.3,7.0,0.5,0.5,2.49,0.0,,0.3,10.79,1,1,1,0,0,19,2017-01-01,2017,1,1,0,7,4,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Manhattan,Morningside Heights,Boro Zone,Manhattan,Upper West Side North,Yellow Zone
green,2,2017-01-01T00:14:34.000+08:00,2017-01-01T00:28:57.000+08:00,N,1,127,174,,,,,5,3.49,13.5,0.5,0.5,0.0,0.0,,0.3,14.8,2,1,1,0,14,34,2017-01-01,2017,1,1,0,28,57,2017-01-01,VFI,VeriFone Inc.,Jan,January,Cash,Standard rate,Manhattan,Inwood,Boro Zone,Bronx,Norwood,Boro Zone
green,2,2017-01-01T00:01:40.000+08:00,2017-01-01T00:34:15.000+08:00,N,1,112,152,,,,,1,9.49,30.0,0.5,0.5,7.82,0.0,,0.3,39.12,1,1,1,0,1,40,2017-01-01,2017,1,1,0,34,15,2017-01-01,VFI,VeriFone Inc.,Jan,January,Credit card,Standard rate,Brooklyn,Greenpoint,Boro Zone,Manhattan,Manhattanville,Boro Zone
