VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-01-15 19:05:44,2015-01-15 19:17:44,1,2.92,-73.99835205078125,40.72003173828125,1,N,-73.955825805664062,40.715599060058594,1,12.5,1,0.5,2.7,0,0.3,17
1,2015-01-10 19:12:21,2015-01-10 19:31:33,1,2.90,-74.0030517578125,40.727718353271484,1,N,-73.976036071777344,40.763969421386719,2,13.5,0,0.5,0,0,0.3,14.3
1,2015-01-10 19:12:21,2015-01-10 19:46:08,1,16.40,-73.977096557617187,40.763172149658203,2,N,-73.79071044921875,40.644275665283203,1,52,0,0.5,10,0,0.3,62.8
2,2015-01-25 00:13:04,2015-01-25 00:13:18,1,.02,-73.99481201171875,40.727741241455078,1,N,-73.996940612792969,40.725559234619141,2,2.5,0.5,0.5,0,0,0.3,3.8
2,2015-01-25 00:13:05,2015-01-25 00:29:11,1,1.73,-73.985939025878906,40.726764678955078,1,N,-74.006546020507813,40.737865447998047,2,11,0.5,0.5,0,0,0.3,12.3
2,2015-01-25 00:13:05,2015-01-25 00:25:43,1,2.25,-73.979988098144531,40.743274688720703,1,N,-74.008087158203125,40.739055633544922,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2015-01-25 00:13:05,2015-01-25 00:25:50,1,3.53,-73.988967895507813,40.7216796875,1,N,-73.978729248046875,40.762470245361328,2,12.5,0.5,0.5,0,0,0.3,13.8
2,2015-01-25 00:13:06,2015-01-25 00:23:26,1,2.01,-73.948684692382812,40.782360076904297,1,N,-73.957084655761719,40.801990509033203,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,2015-01-25 00:13:06,2015-01-25 00:24:51,1,3.37,-73.945510864257813,40.773723602294922,1,N,-73.987434387207031,40.755706787109375,1,12.5,0.5,0.5,0,0,0.3,13.8
2,2015-01-25 00:13:06,2015-01-25 00:22:20,1,1.35,-73.933944702148438,40.762851715087891,1,N,-73.917022705078125,40.770946502685547,1,8,0.5,0.5,0.7,0,0.3,10
2,2015-01-25 00:13:06,2015-01-25 00:18:30,1,1.18,-73.983024597167969,40.767818450927734,1,N,-73.968307495117188,40.763149261474609,1,6,0.5,0.5,1.8,0,0.3,9.1
2,2015-01-25 00:13:06,2015-01-25 00:21:15,5,2.05,-73.990959167480469,40.734821319580078,1,N,-73.990730285644531,40.75537109375,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2015-01-25 00:13:06,2015-01-25 00:34:32,1,3.05,-73.99163818359375,40.727088928222656,1,N,-73.951713562011719,40.714778900146484,1,16.5,0.5,0.5,5.34,0,0.3,23.14
2,2015-01-25 00:13:07,2015-01-25 00:27:08,4,3.06,-73.992637634277344,40.723793029785156,1,N,-73.96405029296875,40.756866455078125,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,2015-01-25 00:13:07,2015-01-25 00:15:39,1,.49,-73.986160278320312,40.75994873046875,1,N,-73.983604431152344,40.763938903808594,2,4,0.5,0.5,0,0,0.3,5.3
2,2015-01-25 00:13:07,2015-01-25 00:24:59,1,2.60,-73.948478698730469,40.782478332519531,1,N,-73.971534729003906,40.800338745117187,1,11,0.5,0.5,1.5,0,0.3,13.8
2,2015-01-25 00:13:07,2015-01-25 00:41:19,1,6.17,-74.001632690429687,40.740936279296875,1,N,-73.919807434082031,40.743080139160156,1,24,0.5,0.5,2.7,0,0.3,28
2,2015-01-25 00:13:08,2015-01-25 00:34:57,1,3.72,-73.975341796875,40.789878845214844,1,N,-74.005043029785156,40.741191864013672,1,16.5,0.5,0.5,3.56,0,0.3,21.36
2,2015-01-25 00:13:08,2015-01-25 00:18:57,1,1.10,-73.979881286621094,40.746246337890625,1,N,-73.987663269042969,40.732673645019531,2,6,0.5,0.5,0,0,0.3,7.3
2,2015-01-25 00:13:09,2015-01-25 00:21:38,2,2.63,-73.992828369140625,40.701484680175781,1,N,-73.992904663085938,40.719978332519531,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2015-01-25 00:13:09,2015-01-25 00:22:51,2,2.22,-73.992530822753906,40.724460601806641,1,N,-74.010894775390625,40.703266143798828,1,9.5,0.5,0.5,2.7,0,0.3,13.5
2,2015-01-25 00:13:09,2015-01-25 00:20:30,1,1.79,-73.9556884765625,40.772468566894531,1,N,-73.974380493164063,40.756671905517578,1,8,0.5,0.5,2.79,0,0.3,12.09
2,2015-01-25 00:13:09,2015-01-25 00:24:28,1,1.14,-73.993110656738281,40.724288940429687,1,N,-74.0009765625,40.735221862792969,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2015-01-25 00:13:09,2015-01-25 01:02:40,1,10.20,-73.997611999511719,40.762241363525391,1,N,-73.908576965332031,40.690048217773437,2,39,0.5,0.5,0,0,0.3,40.3
2,2015-01-04 13:44:51,2015-01-04 13:53:27,5,1.48,-73.986351013183594,40.759376525878906,1,N,-73.996246337890625,40.746711730957031,1,7.5,0,0.5,1.5,0,0.3,9.8
2,2015-01-04 13:44:51,2015-01-04 13:45:03,1,.03,-73.944511413574219,40.794567108154297,1,N,-73.9447021484375,40.794334411621094,2,2.5,0,0.5,0,0,0.3,3.3
1,2015-01-04 13:44:52,2015-01-04 13:56:49,1,2.50,0,0,1,N,0,0,1,11,0,0.5,2.35,0,0,14.15
2,2015-01-04 13:44:52,2015-01-04 13:46:38,1,.36,-73.991249084472656,40.765460968017578,1,N,-73.987533569335938,40.768409729003906,2,3.5,0,0.5,0,0,0.3,4.3
2,2015-01-04 13:44:52,2015-01-04 13:56:58,3,3.14,-73.977943420410156,40.684871673583984,1,N,-73.996490478515625,40.725509643554688,1,12.5,0,0.5,2.5,0,0.3,15.8
2,2015-01-04 13:44:52,2015-01-04 13:53:17,1,1.14,-73.990951538085938,40.750808715820312,1,N,-73.979408264160156,40.741260528564453,1,7,0,0.5,1.4,0,0.3,9.2
2,2015-01-04 13:44:52,2015-01-04 14:04:23,1,8.98,-73.871002197265625,40.773792266845703,1,N,-73.96136474609375,40.770042419433594,1,27,0,0.5,0,5.33,0.3,33.13
