vendor_id, pickup_datetime, dropoff_datetime, passenger_count, trip_distance, pickup_longitude, pickup_latitude, rate_code, store_and_fwd_flag, dropoff_longitude, dropoff_latitude, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
CMT,2014-07-07 06:08:55,2014-07-07 06:32:36,1,16,-73.981031000000002,40.741737000000001,2,N,-73.789108999999996,40.641663999999999,CRD,52,0,0.5,11.56,5.3300000000000001,69.390000000000001
CMT,2014-07-07 07:15:53,2014-07-07 07:25:45,4,2.1000000000000001,-73.983356000000001,40.741213000000002,1,N,-73.982382000000001,40.763047,CRD,9.5,0,0.5,2,0,12
CMT,2014-07-07 10:38:42,2014-07-07 10:41:23,1,0.69999999999999996,-73.990988000000002,40.750501999999997,1,N,-73.998548999999997,40.739879000000002,CRD,4.5,0,0.5,1.5,0,6.5
CMT,2014-07-07 10:52:16,2014-07-07 11:04:55,1,1.8,-73.986930000000001,40.74241,1,N,-73.970011999999997,40.765452000000003,CRD,10,0,0.5,2,0,12.5
CMT,2014-07-07 00:49:45,2014-07-07 01:10:44,1,10.4,-73.988033000000001,40.756492000000001,1,N,-73.855511000000007,40.826149000000001,CRD,30.5,0.5,0.5,6.2999999999999998,0,37.799999999999997
CMT,2014-07-07 00:04:25,2014-07-07 00:22:58,1,9.6999999999999993,-73.875583000000006,40.773733999999997,1,N,-73.980675000000005,40.728862999999997,CRD,28.5,0.5,0.5,5.9000000000000004,0,35.399999999999999
CMT,2014-07-07 00:26:21,2014-07-07 00:52:04,1,5.5,-73.988012999999995,40.718626999999998,1,N,-73.978206999999998,40.779837000000001,CRD,20.5,0.5,0.5,4.2999999999999998,0,25.800000000000001
CMT,2014-07-07 00:24:27,2014-07-07 00:30:43,2,1.2,-74.000673000000006,40.746147000000001,1,N,-73.980879999999999,40.742153000000002,CRD,7,0.5,0.5,2,0,10
CMT,2014-07-06 22:50:10,2014-07-06 22:53:32,1,0.69999999999999996,-73.973320000000001,40.752695000000003,1,Y,-73.966357000000002,40.760604999999998,CRD,4.5,0.5,0.5,1,0,6.5
CMT,2014-07-07 01:23:58,2014-07-07 01:36:09,1,3,-73.969286999999994,40.757961999999999,1,N,-73.995266999999998,40.723283000000002,CRD,12,0.5,0.5,2.6000000000000001,0,15.6
CMT,2014-07-07 00:27:17,2014-07-07 00:59:32,1,4,-73.855765000000005,40.670309000000003,1,N,-73.899316999999996,40.657536,CRD,23.5,0.5,0.5,0.75,0,25.25
CMT,2014-07-07 01:42:38,2014-07-07 01:48:54,1,3.2000000000000002,-74.005273000000003,40.708646999999999,1,N,-73.974714000000006,40.732700000000001,CRD,11,0.5,0.5,2.3999999999999999,0,14.4
CMT,2014-07-07 00:14:05,2014-07-07 00:19:52,1,1.1000000000000001,-73.977163000000004,40.764533,1,N,-73.993457000000006,40.764620000000001,CRD,6,0.5,0.5,1,0,8
CMT,2014-07-07 01:11:27,2014-07-07 01:17:02,1,2,-73.992351999999997,40.730716000000001,1,N,-74.013424000000001,40.705575000000003,CRD,7.5,0.5,0.5,2.1200000000000001,0,10.619999999999999
CMT,2014-07-07 02:04:59,2014-07-07 02:12:49,1,2.7999999999999998,-73.952126000000007,40.709662999999999,1,N,-73.990577999999999,40.724732000000003,CRD,10.5,0.5,0.5,0.57999999999999996,0,12.08
CMT,2014-07-07 01:36:50,2014-07-07 01:39:49,1,1.3,-73.992073000000005,40.759175999999997,1,N,-74.000206000000006,40.743402000000003,CRD,6,0,0.5,1.3,0,7.7999999999999998
CMT,2014-07-07 00:14:44,2014-07-07 00:24:48,1,2.3999999999999999,-73.989701999999994,40.752195999999998,1,N,-73.992075,40.725703000000003,CRD,10,0.5,0.5,1.5,0,12.5
CMT,2014-07-07 00:09:01,2014-07-07 00:31:01,1,6.4000000000000004,-73.985652999999999,40.763015000000003,1,N,-73.915828000000005,40.776519999999998,CRD,22,0.5,0.5,2,0,25
CMT,2014-07-10 15:16:03,2014-07-10 15:22:44,1,0.59999999999999998,-73.994625999999997,40.750428999999997,1,N,-74.003125999999995,40.756360999999998,CSH,6,0,0.5,0,0,6.5
CMT,2014-07-10 13:54:14,2014-07-10 13:55:56,1,0.20000000000000001,-74.003039999999999,40.717978000000002,1,N,-74.005930000000006,40.714314000000002,CSH,3,0,0.5,0,0,3.5
