VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2016-02-01 00:11:17,2016-02-01 00:33:38,N,1,-73.924674987792969,40.761703491210938,-73.891464233398437,40.671253204345703,1,13.60,37.5,0.5,0.5,7.76,0,,0.3,46.56,1,1
2,2016-02-01 00:59:54,2016-02-01 01:06:47,N,1,-73.933250427246094,40.702922821044922,-73.945579528808594,40.695075988769531,1,1.44,7,0.5,0.5,1.66,0,,0.3,9.96,1,1
2,2016-02-01 00:11:48,2016-02-01 00:17:52,N,1,-73.950271606445313,40.811557769775391,-73.969635009765625,40.794662475585937,1,1.74,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2016-02-01 00:03:26,2016-02-01 00:10:48,N,1,-73.88299560546875,40.755878448486328,-73.886528015136719,40.747276306152344,5,1.08,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2016-02-01 00:17:40,2016-02-01 00:30:47,N,1,-73.890716552734375,40.746955871582031,-73.862716674804688,40.7205810546875,5,3.14,12,0.5,0.5,0,0,,0.3,13.3,2,1
2,2016-02-01 00:07:47,2016-02-01 00:16:41,N,1,-73.923660278320313,40.754615783691406,-73.931671142578125,40.774173736572266,5,2.15,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2016-02-01 00:25:18,2016-02-01 00:30:39,N,1,-73.915573120117188,40.764133453369141,-73.915618896484375,40.749309539794922,5,1.13,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2016-02-01 00:37:55,2016-02-01 00:45:05,N,1,-73.922050476074219,40.755294799804688,-73.919631958007813,40.739353179931641,5,1.49,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1
2,2016-02-01 00:56:38,2016-02-01 01:22:52,N,1,-73.912956237792969,40.766483306884766,-73.994392395019531,40.755962371826172,5,6.51,23.5,0.5,0.5,0,0,,0.3,24.8,2,1
2,2016-02-01 00:14:14,2016-02-01 00:33:28,N,1,-73.856826782226563,40.833591461181641,-73.912284851074219,40.821243286132813,1,4.38,17,0.5,0.5,0,0,,0.3,18.3,2,1
2,2016-02-01 00:22:29,2016-02-01 00:29:59,N,1,-73.942153930664063,40.822601318359375,-73.946212768554687,40.807209014892578,1,1.32,7.5,0.5,0.5,4.2,0,,0.3,13,1,1
2,2016-02-01 00:33:16,2016-02-01 00:42:04,N,1,-73.941513061523438,40.813076019287109,-73.952903747558594,40.783302307128906,1,2.68,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1
2,2016-02-01 00:13:38,2016-02-01 00:20:04,N,1,-73.948005676269531,40.808807373046875,-73.931533813476562,40.797714233398437,1,1.28,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2016-02-01 00:51:50,2016-02-01 01:01:48,N,1,-73.87652587890625,40.736301422119141,-73.923171997070313,40.743846893310547,1,2.53,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2016-02-01 00:10:36,2016-02-01 00:25:06,N,1,-73.950653076171875,40.723857879638672,-73.988998413085938,40.684818267822266,1,6.41,19.5,0.5,0.5,5.2,0,,0.3,26,1,1
2,2016-02-01 00:34:02,2016-02-01 00:44:14,N,1,-73.977386474609375,40.680633544921875,-73.95745849609375,40.653022766113281,1,2.30,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2016-02-01 00:58:38,2016-02-01 01:37:52,N,1,-73.946144104003906,40.674118041992187,-73.941001892089844,40.831897735595703,1,16.74,48,0.5,0.5,2,0,,0.3,51.3,1,1
2,2016-02-01 00:01:30,2016-02-01 00:17:40,N,5,-73.897010803222656,40.821990966796875,-73.902290344238281,40.868888854980469,1,6.64,15,0,0,0,0,,0,15,2,2
2,2016-02-01 00:39:23,2016-02-01 00:52:53,N,1,-73.941093444824219,40.813995361328125,-73.980476379394531,40.775310516357422,1,3.86,14,0.5,0.5,2,0,,0.3,17.3,1,1
2,2016-02-01 00:08:49,2016-02-01 00:21:46,N,1,-73.954353332519531,40.730373382568359,-73.933502197265625,40.709217071533203,2,2.73,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,2016-02-01 00:47:12,2016-02-01 01:00:20,N,1,-73.951492309570313,40.689796447753906,-73.894065856933594,40.664768218994141,2,4.37,15,0.5,0.5,0,0,,0.3,16.3,2,1
2,2016-02-01 00:14:34,2016-02-01 00:33:36,N,1,-73.987594604492187,40.702262878417969,-73.857177734375,40.717048645019531,1,9.55,28,0.5,0.5,0,0,,0.3,29.3,1,1
2,2016-02-01 00:50:32,2016-02-01 00:54:23,N,1,-73.950630187988281,40.810009002685547,-73.959312438964844,40.814430236816406,1,.69,5,0.5,0.5,0,0,,0.3,6.3,1,1
2,2016-02-01 00:16:43,2016-02-01 00:22:43,N,1,-73.955802917480469,40.717605590820312,-73.9476318359375,40.721446990966797,1,1.24,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1
2,2016-02-01 00:27:14,2016-02-01 00:37:42,N,1,-73.95111083984375,40.714103698730469,-73.984756469726563,40.724449157714844,1,2.76,11,0.5,0.5,0,0,,0.3,12.3,2,1
2,2016-02-01 00:58:25,2016-02-01 01:08:20,N,1,-73.958412170410156,40.717147827148438,-73.948722839355469,40.696205139160156,1,2.24,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1
2,2016-02-01 00:11:36,2016-02-01 04:24:02,N,5,-73.898445129394531,40.814102172851563,-73.929267883300781,40.752292633056641,2,.00,50,0,0,0,0,,0,50,2,2
2,2016-02-01 00:50:13,2016-02-01 00:53:10,N,1,-73.925407409667969,40.76171875,-73.925041198730469,40.768577575683594,2,.62,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-02-01 00:39:48,2016-02-01 00:44:46,N,1,-73.921058654785156,40.86773681640625,-73.906387329101563,40.871612548828125,1,1.14,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2016-02-01 00:53:37,2016-02-01 00:59:04,N,1,-73.940620422363281,40.814262390136719,-73.930763244628906,40.833419799804688,1,1.86,7.5,0.5,0.5,0,0,,0.3,8.8,1,1
2,2016-02-01 00:08:05,2016-02-02 00:01:16,N,1,-73.915939331054688,40.762783050537109,-73.890480041503906,40.7469482421875,5,2.08,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,2016-02-01 00:20:47,2016-02-01 00:24:34,N,1,-73.892631530761719,40.747280120849609,-73.894760131835938,40.741813659667969,5,.48,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
