,Dispatching_base_num,Pickup_date,locationID
237,B00013,2015-02-02 13:22:00,
238,B00013,2015-02-02 13:25:00,
239,B00013,2015-02-02 13:35:00,
240,B00013,2015-02-02 13:37:00,
241,B00013,2015-02-02 13:37:00,
242,B00013,2015-02-02 13:49:00,
243,B00013,2015-02-02 13:55:00,
244,B00013,2015-02-02 13:56:00,
245,B00013,2015-02-02 14:03:00,
246,B00013,2015-02-02 14:04:00,
247,B00013,2015-02-02 14:05:00,
248,B00013,2015-02-02 14:10:00,
249,B00013,2015-02-02 14:19:00,
250,B00013,2015-02-02 14:19:00,
251,B00013,2015-02-02 14:22:00,
252,B00013,2015-02-02 14:28:00,
253,B00013,2015-02-02 14:32:00,
254,B00013,2015-02-02 14:45:00,
255,B00013,2015-02-02 14:50:00,
256,B00013,2015-02-02 14:51:00,
257,B00013,2015-02-02 14:56:00,
258,B00013,2015-02-02 15:18:00,
259,B00013,2015-02-02 15:22:00,
260,B00013,2015-02-02 15:24:00,
261,B00013,2015-02-02 15:30:00,
262,B00013,2015-02-02 15:31:00,
263,B00013,2015-02-02 15:31:00,
264,B00013,2015-02-02 15:34:00,
265,B00013,2015-02-02 15:34:00,
266,B00013,2015-02-02 15:45:00,
267,B00013,2015-02-02 15:46:00,
268,B00013,2015-02-02 15:49:00,
269,B00013,2015-02-02 16:08:00,
270,B00013,2015-02-02 16:24:00,
271,B00013,2015-02-02 16:30:00,
272,B00013,2015-02-02 16:30:00,
273,B00013,2015-02-02 16:30:00,
274,B00013,2015-02-02 16:33:00,
275,B00013,2015-02-02 16:33:00,
276,B00013,2015-02-02 16:40:00,
277,B00013,2015-02-02 16:47:00,
278,B00013,2015-02-02 17:00:00,
279,B00013,2015-02-02 17:07:00,
280,B00013,2015-02-02 17:07:00,
281,B00013,2015-02-02 17:09:00,
282,B00013,2015-02-02 17:12:00,
283,B00013,2015-02-02 17:27:00,
284,B00013,2015-02-02 17:30:00,
285,B00013,2015-02-02 17:43:00,
286,B00013,2015-02-02 17:44:00,
287,B00013,2015-02-02 17:52:00,
288,B00013,2015-02-02 18:00:00,
289,B00013,2015-02-02 18:00:00,
290,B00013,2015-02-02 18:00:00,
291,B00013,2015-02-02 18:00:00,
292,B00013,2015-02-02 18:06:00,
293,B00013,2015-02-02 18:09:00,
294,B00013,2015-02-02 18:13:00,
295,B00013,2015-02-02 18:15:00,
296,B00013,2015-02-02 18:18:00,
297,B00013,2015-02-02 18:22:00,
298,B00013,2015-02-02 18:27:00,
299,B00013,2015-02-02 18:27:00,
300,B00013,2015-02-02 18:30:00,
301,B00013,2015-02-02 18:30:00,
302,B00013,2015-02-02 18:42:00,
303,B00013,2015-02-02 18:43:00,
304,B00013,2015-02-02 18:43:00,
305,B00013,2015-02-02 18:47:00,
306,B00013,2015-02-02 18:53:00,
307,B00013,2015-02-02 18:54:00,
308,B00013,2015-02-02 18:59:00,
309,B00013,2015-02-02 19:00:00,
310,B00013,2015-02-02 19:00:00,
311,B00013,2015-02-02 19:00:00,
312,B00013,2015-02-02 19:10:00,
313,B00013,2015-02-02 19:15:00,
314,B00013,2015-02-02 19:30:00,
315,B00013,2015-02-02 19:33:00,
316,B00013,2015-02-02 19:33:00,
317,B00013,2015-02-02 19:37:00,
318,B00013,2015-02-02 19:37:00,
319,B00013,2015-02-02 19:37:00,
320,B00013,2015-02-02 19:37:00,
321,B00013,2015-02-02 19:38:00,
322,B00013,2015-02-02 19:38:00,
323,B00013,2015-02-02 19:45:00,
324,B00013,2015-02-02 19:46:00,
325,B00013,2015-02-02 19:46:00,
326,B00013,2015-02-02 19:54:00,
327,B00013,2015-02-02 19:55:00,
328,B00013,2015-02-02 20:00:00,
329,B00013,2015-02-02 20:00:00,
330,B00013,2015-02-02 20:00:00,
331,B00013,2015-02-02 20:00:00,
332,B00013,2015-02-02 20:00:00,
333,B00013,2015-02-02 20:00:00,
334,B00013,2015-02-02 20:05:00,
335,B00013,2015-02-02 20:05:00,
336,B00013,2015-02-02 20:07:00,
337,B00013,2015-02-02 20:08:00,
