,Trip_Pickup_DateTime,Passenger_Count
282,2009-01-18 18:50:36,1.0
283,2009-01-12 18:11:00,1.0
284,2009-01-24 12:15:00,5.0
285,2009-01-23 21:56:00,1.0
286,2009-01-18 20:09:31,1.0
287,2009-01-24 03:43:00,1.0
288,2009-01-12 21:27:00,1.0
289,2009-01-18 21:40:57,1.0
290,2009-01-24 09:28:00,1.0
291,2009-01-18 05:24:11,1.0
292,2009-01-24 09:39:00,5.0
293,2009-01-23 13:05:00,1.0
294,2009-01-24 09:50:00,1.0
295,2009-01-23 02:35:00,5.0
296,2009-01-24 12:20:00,3.0
297,2009-01-24 15:34:00,1.0
298,2009-01-24 13:13:00,5.0
299,2009-01-23 22:47:00,1.0
300,2009-01-24 15:38:00,1.0
301,2009-01-24 11:14:00,5.0
302,2009-01-24 08:43:00,6.0
303,2009-01-18 22:48:13,1.0
304,2009-01-24 15:26:00,1.0
305,2009-01-24 11:02:00,5.0
306,2009-01-23 17:03:00,1.0
307,2009-01-24 13:20:00,1.0
308,2009-01-24 01:05:00,1.0
309,2009-01-20 16:03:54,2.0
310,2009-01-24 01:46:00,5.0
311,2009-01-24 01:01:00,5.0
312,2009-01-24 10:20:00,2.0
313,2009-01-18 23:13:03,1.0
314,2009-01-24 21:43:05,1.0
315,2009-01-24 14:28:00,1.0
316,2009-01-24 14:00:00,1.0
317,2009-01-24 02:41:00,1.0
318,2009-01-24 14:40:00,1.0
319,2009-01-19 16:04:41,1.0
320,2009-01-24 15:20:00,1.0
321,2009-01-24 14:57:00,5.0
322,2009-01-23 18:31:00,1.0
323,2009-01-20 05:07:42,1.0
324,2009-01-21 09:35:15,1.0
325,2009-01-24 11:16:00,1.0
326,2009-01-18 13:55:37,1.0
327,2009-01-23 23:21:00,1.0
328,2009-01-23 22:34:00,1.0
329,2009-01-18 16:49:45,2.0
330,2009-01-23 22:48:00,5.0
331,2009-01-24 17:33:00,1.0
332,2009-01-24 00:00:00,2.0
333,2009-01-23 08:56:00,1.0
334,2009-01-24 02:28:00,5.0
335,2009-01-18 14:48:18,1.0
336,2009-01-22 22:50:00,2.0
337,2009-01-14 11:19:00,5.0
338,2009-01-11 12:52:00,1.0
339,2009-01-14 09:21:00,1.0
340,2009-01-14 15:29:00,1.0
341,2009-01-14 09:45:00,5.0
342,2009-01-11 16:19:00,2.0
343,2009-01-14 08:38:00,1.0
344,2009-01-14 13:02:00,1.0
345,2009-01-21 22:46:00,1.0
346,2009-01-22 12:09:00,5.0
347,2009-01-14 09:21:00,5.0
348,2009-01-21 23:21:00,3.0
349,2009-01-14 13:54:00,2.0
350,2009-01-18 04:41:49,1.0
351,2009-01-18 03:51:50,1.0
352,2009-01-22 17:45:00,5.0
353,2009-01-22 11:51:00,1.0
354,2009-01-22 12:02:00,1.0
355,2009-01-21 17:35:00,1.0
356,2009-01-12 15:09:00,1.0
357,2009-01-23 00:22:04,1.0
358,2009-01-22 18:17:00,1.0
359,2009-01-21 18:45:00,3.0
360,2009-01-18 00:36:47,2.0
361,2009-01-21 19:52:00,1.0
362,2009-01-23 10:12:13,1.0
363,2009-01-12 15:49:00,2.0
364,2009-01-11 17:28:00,3.0
365,2009-01-22 18:38:00,1.0
366,2009-01-21 19:00:00,1.0
367,2009-01-22 18:05:00,5.0
368,2009-01-20 06:06:33,1.0
369,2009-01-22 20:10:00,5.0
370,2009-01-21 21:19:00,5.0
371,2009-01-22 16:51:00,3.0
372,2009-01-21 16:55:00,1.0
373,2009-01-22 00:25:00,2.0
374,2009-01-22 17:56:00,1.0
375,2009-01-22 18:27:00,1.0
376,2009-01-22 17:12:00,1.0
377,2009-01-22 19:03:00,5.0
378,2009-01-22 18:05:00,1.0
379,2009-01-21 15:07:56,1.0
380,2009-01-12 14:16:00,6.0
381,2009-01-22 18:37:00,5.0
382,2009-01-23 13:36:00,1.0
383,2009-01-23 13:50:00,2.0
384,2009-01-22 23:43:00,2.0
385,2009-01-18 02:24:30,1.0
386,2009-01-24 22:53:57,1.0
387,2009-01-23 17:30:18,1.0
388,2009-01-23 13:56:00,1.0
389,2009-01-23 06:59:00,1.0
390,2009-01-23 09:17:00,5.0
391,2009-01-22 13:39:58,1.0
392,2009-01-18 10:11:30,1.0
393,2009-01-20 20:05:18,1.0
394,2009-01-24 17:09:08,1.0
395,2009-01-23 13:38:00,1.0
396,2009-01-18 11:58:21,4.0
397,2009-01-23 07:57:00,1.0
398,2009-01-24 10:52:28,1.0
399,2009-01-22 23:23:00,5.0
400,2009-01-20 08:55:46,1.0
401,2009-01-23 10:45:00,5.0
402,2009-01-23 08:38:00,1.0
403,2009-01-23 07:32:00,1.0
404,2009-01-21 18:43:16,2.0
405,2009-01-23 11:43:00,1.0
406,2009-01-12 16:24:00,2.0
407,2009-01-23 11:31:00,3.0
408,2009-01-23 13:01:00,1.0
409,2009-01-23 12:34:00,1.0
410,2009-01-18 07:52:49,1.0
411,2009-01-23 14:20:00,1.0
412,2009-01-22 20:06:00,2.0
413,2009-01-23 15:05:00,2.0
414,2009-01-23 13:29:00,1.0
415,2009-01-22 19:40:00,2.0
416,2009-01-23 13:08:00,1.0
417,2009-01-23 10:35:00,2.0
418,2009-01-22 21:56:00,2.0
419,2009-01-23 01:13:00,5.0
420,2009-01-23 01:09:00,2.0
421,2009-01-18 15:21:51,1.0
422,2009-01-23 10:29:00,5.0
423,2009-01-22 22:48:00,1.0
424,2009-01-18 14:08:16,1.0
425,2009-01-22 17:35:00,3.0
426,2009-01-18 13:15:41,1.0
427,2009-01-23 17:59:00,1.0
428,2009-01-22 17:00:00,2.0
429,2009-01-22 19:09:00,1.0
430,2009-01-18 16:25:54,1.0
431,2009-01-22 23:50:00,5.0
432,2009-01-23 18:48:00,1.0
433,2009-01-22 19:17:00,5.0
434,2009-01-13 06:04:00,5.0
435,2009-01-12 14:56:00,2.0
436,2009-01-13 08:27:00,1.0
437,2009-01-16 23:40:20,2.0
438,2009-01-13 10:00:00,1.0
439,2009-01-12 11:43:00,2.0
440,2009-01-02 01:57:01,4.0
441,2009-01-13 08:28:00,2.0
442,2009-01-12 19:10:00,1.0
443,2009-01-17 19:08:28,2.0
444,2009-01-13 10:27:00,2.0
445,2009-01-12 13:55:00,1.0
446,2009-01-13 05:28:00,1.0
447,2009-01-12 22:43:00,1.0
448,2009-01-13 08:00:00,5.0
449,2009-01-13 08:57:00,2.0
450,2009-01-12 16:00:00,5.0
451,2009-01-13 14:43:00,3.0
452,2009-01-10 23:40:00,3.0
453,2009-01-13 12:37:00,5.0
454,2009-01-18 01:43:31,1.0
455,2009-01-13 15:03:00,1.0
456,2009-01-17 21:46:29,1.0
457,2009-01-13 11:21:00,1.0
458,2009-01-13 16:06:00,1.0
459,2009-01-17 14:50:52,1.0
460,2009-01-13 12:54:00,1.0
