taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,pickup_day,pickup_hour,pickup_minute,pickup_second,pickup_date,dropoff_year,dropoff_month,dropoff_day,dropoff_hour,dropoff_minute,dropoff_second,dropoff_date,vendor_abbreviation,vendor_description,month_name_short,month_name_full,payment_type_description,rate_code_description,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone
yellow,1,2017-04-01T00:00:10.000+08:00,2017-04-01T00:11:57.000+08:00,N,1,158,48,,,,,1,2.8,11.5,0.5,0.5,3.8,0.0,0.3,16.6,1,1,0,0,10,2017-04-01,2017,4,1,0,11,57,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,Clinton East,Yellow Zone
yellow,2,2017-04-01T00:00:01.000+08:00,2017-04-01T01:19:57.000+08:00,N,1,100,52,,,,,6,7.27,50.5,0.5,0.5,12.95,0.0,0.3,64.75,1,1,0,0,1,2017-04-01,2017,4,1,1,19,57,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Garment District,Yellow Zone,Brooklyn,Cobble Hill,Boro Zone
yellow,1,2017-04-01T00:00:03.000+08:00,2017-04-01T00:18:46.000+08:00,N,1,211,97,,,,,1,3.5,15.5,0.5,0.5,3.36,0.0,0.3,20.16,1,1,0,0,3,2017-04-01,2017,4,1,0,18,46,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,SoHo,Yellow Zone,Brooklyn,Fort Greene,Boro Zone
yellow,2,2017-04-01T00:00:13.000+08:00,2017-04-01T00:16:06.000+08:00,N,1,107,148,,,,,5,1.08,11.0,0.5,0.5,0.0,0.0,0.3,12.3,2,1,0,0,13,2017-04-01,2017,4,1,0,16,6,2017-04-01,VFI,VeriFone Inc.,Apr,April,Cash,Standard rate,Manhattan,Gramercy,Yellow Zone,Manhattan,Lower East Side,Yellow Zone
yellow,2,2017-04-01T00:00:14.000+08:00,2017-04-01T00:15:04.000+08:00,N,1,138,92,,,,,1,4.35,15.5,0.5,0.5,0.0,0.0,0.3,16.8,2,1,0,0,14,2017-04-01,2017,4,1,0,15,4,2017-04-01,VFI,VeriFone Inc.,Apr,April,Cash,Standard rate,Queens,LaGuardia Airport,Airports,Queens,Flushing,Boro Zone
yellow,1,2017-04-01T00:00:01.000+08:00,2017-04-01T00:02:56.000+08:00,N,1,142,143,,,,,1,0.7,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2,1,0,0,1,2017-04-01,2017,4,1,0,2,56,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Cash,Standard rate,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone
yellow,2,2017-04-01T00:00:04.000+08:00,2017-04-01T00:08:21.000+08:00,N,1,148,232,,,,,1,0.7,7.0,0.5,0.5,1.66,0.0,0.3,9.96,1,1,0,0,4,2017-04-01,2017,4,1,0,8,21,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Lower East Side,Yellow Zone,Manhattan,Two Bridges/Seward Park,Yellow Zone
yellow,2,2017-04-01T00:00:01.000+08:00,2017-04-01T00:46:22.000+08:00,N,1,162,261,,,,,1,5.67,33.0,0.5,0.5,0.0,0.0,0.3,34.3,2,1,0,0,1,2017-04-01,2017,4,1,0,46,22,2017-04-01,VFI,VeriFone Inc.,Apr,April,Cash,Standard rate,Manhattan,Midtown East,Yellow Zone,Manhattan,World Trade Center,Yellow Zone
yellow,2,2017-04-01T00:00:18.000+08:00,2017-04-01T00:11:28.000+08:00,N,1,186,229,,,,,1,2.17,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2,1,0,0,18,2017-04-01,2017,4,1,0,11,28,2017-04-01,VFI,VeriFone Inc.,Apr,April,Cash,Standard rate,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
yellow,1,2017-04-01T00:00:06.000+08:00,2017-04-01T00:12:18.000+08:00,N,1,163,236,,,,,2,2.6,11.0,0.5,0.5,0.0,0.0,0.3,12.3,2,1,0,0,6,2017-04-01,2017,4,1,0,12,18,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Cash,Standard rate,Manhattan,Midtown North,Yellow Zone,Manhattan,Upper East Side North,Yellow Zone
yellow,2,2017-04-01T00:00:04.000+08:00,2017-04-01T00:10:11.000+08:00,N,1,158,48,,,,,4,1.93,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2,1,0,0,4,2017-04-01,2017,4,1,0,10,11,2017-04-01,VFI,VeriFone Inc.,Apr,April,Cash,Standard rate,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,Clinton East,Yellow Zone
yellow,2,2017-04-01T00:00:04.000+08:00,2017-04-01T00:11:42.000+08:00,N,1,79,233,,,,,1,2.02,10.0,0.5,0.5,2.26,0.0,0.3,13.56,1,1,0,0,4,2017-04-01,2017,4,1,0,11,42,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,East Village,Yellow Zone,Manhattan,UN/Turtle Bay South,Yellow Zone
yellow,2,2017-04-01T00:00:07.000+08:00,2017-04-01T00:09:50.000+08:00,N,1,229,107,,,,,2,2.03,9.0,0.5,0.5,2.58,0.0,0.3,12.88,1,1,0,0,7,2017-04-01,2017,4,1,0,9,50,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,Manhattan,Gramercy,Yellow Zone
yellow,1,2017-04-01T00:00:08.000+08:00,2017-04-01T00:04:42.000+08:00,N,1,239,238,,,,,1,0.9,5.5,0.5,0.5,1.35,0.0,0.3,8.15,1,1,0,0,8,2017-04-01,2017,4,1,0,4,42,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone
yellow,1,2017-04-01T00:00:12.000+08:00,2017-04-01T00:15:10.000+08:00,N,1,87,158,,,,,3,3.7,14.5,0.5,0.5,1.0,0.0,0.3,16.8,1,1,0,0,12,2017-04-01,2017,4,1,0,15,10,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,Financial District North,Yellow Zone,Manhattan,Meatpacking/West Village West,Yellow Zone
yellow,2,2017-04-01T00:00:12.000+08:00,2017-04-01T00:45:26.000+08:00,N,1,68,173,,,,,5,7.9,33.0,0.5,0.5,0.0,0.0,0.3,34.3,1,1,0,0,12,2017-04-01,2017,4,1,0,45,26,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,East Chelsea,Yellow Zone,Queens,North Corona,Boro Zone
yellow,2,2017-04-01T00:00:04.000+08:00,2017-04-01T00:06:59.000+08:00,N,1,48,186,,,,,1,0.96,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2,1,0,0,4,2017-04-01,2017,4,1,0,6,59,2017-04-01,VFI,VeriFone Inc.,Apr,April,Cash,Standard rate,Manhattan,Clinton East,Yellow Zone,Manhattan,Penn Station/Madison Sq West,Yellow Zone
yellow,1,2017-04-01T00:00:04.000+08:00,2017-04-01T00:20:00.000+08:00,N,1,125,263,,,,,1,5.0,17.5,0.5,0.5,3.75,0.0,0.3,22.55,1,1,0,0,4,2017-04-01,2017,4,1,0,20,0,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,Hudson Sq,Yellow Zone,Manhattan,Yorkville West,Yellow Zone
yellow,1,2017-04-01T00:00:11.000+08:00,2017-04-01T00:05:32.000+08:00,N,1,79,79,,,,,1,0.4,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2,1,0,0,11,2017-04-01,2017,4,1,0,5,32,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Cash,Standard rate,Manhattan,East Village,Yellow Zone,Manhattan,East Village,Yellow Zone
yellow,2,2017-04-01T00:00:00.000+08:00,2017-04-01T10:20:01.000+08:00,N,1,264,193,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,2017-04-01,2017,4,1,10,20,1,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Unknown,NV,N/A,Queens,Queensbridge/Ravenswood,Boro Zone
yellow,2,2017-04-01T00:00:14.000+08:00,2017-04-01T00:04:58.000+08:00,N,1,161,163,,,,,5,0.56,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2,1,0,0,14,2017-04-01,2017,4,1,0,4,58,2017-04-01,VFI,VeriFone Inc.,Apr,April,Cash,Standard rate,Manhattan,Midtown Center,Yellow Zone,Manhattan,Midtown North,Yellow Zone
yellow,1,2017-04-01T00:00:15.000+08:00,2017-04-01T00:05:10.000+08:00,N,1,113,90,,,,,2,0.8,5.5,0.5,0.5,1.0,0.0,0.3,7.8,1,1,0,0,15,2017-04-01,2017,4,1,0,5,10,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Flatiron,Yellow Zone
yellow,2,2017-04-01T00:00:18.000+08:00,2017-04-01T00:12:35.000+08:00,N,1,87,79,,,,,5,1.86,10.0,0.5,0.5,2.82,0.0,0.3,14.12,1,1,0,0,18,2017-04-01,2017,4,1,0,12,35,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Financial District North,Yellow Zone,Manhattan,East Village,Yellow Zone
yellow,1,2017-04-01T00:00:00.000+08:00,2017-04-01T00:15:07.000+08:00,N,1,158,113,,,,,1,1.8,10.5,0.5,0.5,0.0,0.0,0.3,11.8,2,1,0,0,0,2017-04-01,2017,4,1,0,15,7,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Cash,Standard rate,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,Greenwich Village North,Yellow Zone
yellow,1,2017-04-01T00:00:16.000+08:00,2017-04-01T00:12:17.000+08:00,N,1,75,42,,,,,1,2.7,11.5,0.5,0.5,1.2,0.0,0.3,14.0,1,1,0,0,16,2017-04-01,2017,4,1,0,12,17,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,East Harlem South,Boro Zone,Manhattan,Central Harlem North,Boro Zone
yellow,1,2017-04-01T00:00:13.000+08:00,2017-04-01T00:03:49.000+08:00,N,1,234,249,,,,,1,0.6,4.5,0.5,0.5,1.15,0.0,0.3,6.95,1,1,0,0,13,2017-04-01,2017,4,1,0,3,49,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,Union Sq,Yellow Zone,Manhattan,West Village,Yellow Zone
yellow,1,2017-04-01T00:00:01.000+08:00,2017-04-01T00:02:40.000+08:00,N,1,166,166,,,,,1,0.4,4.0,0.5,0.5,0.0,0.0,0.3,5.3,2,1,0,0,1,2017-04-01,2017,4,1,0,2,40,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Cash,Standard rate,Manhattan,Morningside Heights,Boro Zone,Manhattan,Morningside Heights,Boro Zone
yellow,2,2017-04-26T16:32:00.000+08:00,2017-04-26T23:46:19.000+08:00,N,1,113,170,,,,,6,1.81,10.0,1.0,0.5,0.0,0.0,0.3,11.8,2,26,16,32,0,2017-04-26,2017,4,26,23,46,19,2017-04-26,VFI,VeriFone Inc.,Apr,April,Cash,Standard rate,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Murray Hill,Yellow Zone
yellow,2,2017-04-01T00:00:11.000+08:00,2017-04-01T00:35:26.000+08:00,N,1,186,88,,,,,1,6.06,27.0,0.5,0.5,5.66,0.0,0.3,33.96,1,1,0,0,11,2017-04-01,2017,4,1,0,35,26,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,Financial District South,Yellow Zone
yellow,2,2017-04-01T00:00:09.000+08:00,2017-04-01T00:11:19.000+08:00,N,1,48,230,,,,,2,0.88,8.5,0.5,0.5,1.96,0.0,0.3,11.76,1,1,0,0,9,2017-04-01,2017,4,1,0,11,19,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Clinton East,Yellow Zone,Manhattan,Times Sq/Theatre District,Yellow Zone
yellow,2,2017-04-26T16:12:29.000+08:00,2017-04-26T16:28:35.000+08:00,N,1,246,114,,,,,6,2.29,12.5,1.0,0.5,1.0,0.0,0.3,15.3,1,26,16,12,29,2017-04-26,2017,4,26,16,28,35,2017-04-26,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,Manhattan,Greenwich Village South,Yellow Zone
yellow,1,2017-04-01T00:00:05.000+08:00,2017-04-01T00:15:28.000+08:00,N,1,264,264,,,,,1,4.7,15.0,0.5,0.5,2.0,0.0,0.3,18.3,1,1,0,0,5,2017-04-01,2017,4,1,0,15,28,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Unknown,NV,N/A,Unknown,NV,N/A
yellow,2,2017-04-01T00:00:05.000+08:00,2017-04-01T00:07:02.000+08:00,N,1,230,186,,,,,1,1.15,6.5,0.5,0.5,1.56,0.0,0.3,9.36,1,1,0,0,5,2017-04-01,2017,4,1,0,7,2,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Times Sq/Theatre District,Yellow Zone,Manhattan,Penn Station/Madison Sq West,Yellow Zone
yellow,2,2017-04-01T00:00:08.000+08:00,2017-04-01T00:29:28.000+08:00,N,1,161,161,,,,,3,5.35,21.5,0.5,0.5,4.56,0.0,0.3,27.36,1,1,0,0,8,2017-04-01,2017,4,1,0,29,28,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Midtown Center,Yellow Zone,Manhattan,Midtown Center,Yellow Zone
yellow,2,2017-04-01T00:00:18.000+08:00,2017-04-01T00:15:45.000+08:00,N,1,164,75,,,,,2,4.2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,1,1,0,0,18,2017-04-01,2017,4,1,0,15,45,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Midtown South,Yellow Zone,Manhattan,East Harlem South,Boro Zone
yellow,2,2017-04-01T00:00:12.000+08:00,2017-04-01T00:03:49.000+08:00,N,1,142,163,,,,,2,0.76,4.5,0.5,0.5,1.45,0.0,0.3,7.25,1,1,0,0,12,2017-04-01,2017,4,1,0,3,49,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Midtown North,Yellow Zone
yellow,1,2017-04-01T00:00:18.000+08:00,2017-04-01T00:12:46.000+08:00,N,1,263,142,,,,,1,2.6,11.5,0.5,0.5,0.0,0.0,0.3,12.8,3,1,0,0,18,2017-04-01,2017,4,1,0,12,46,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,No charge,Standard rate,Manhattan,Yorkville West,Yellow Zone,Manhattan,Lincoln Square East,Yellow Zone
yellow,1,2017-04-01T00:00:06.000+08:00,2017-04-01T00:05:03.000+08:00,N,1,231,13,,,,,2,1.1,6.0,0.5,0.5,0.0,0.0,0.3,7.3,2,1,0,0,6,2017-04-01,2017,4,1,0,5,3,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Cash,Standard rate,Manhattan,TriBeCa/Civic Center,Yellow Zone,Manhattan,Battery Park City,Yellow Zone
yellow,2,2017-04-01T00:00:17.000+08:00,2017-04-01T00:12:59.000+08:00,N,1,163,233,,,,,1,1.18,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2,1,0,0,17,2017-04-01,2017,4,1,0,12,59,2017-04-01,VFI,VeriFone Inc.,Apr,April,Cash,Standard rate,Manhattan,Midtown North,Yellow Zone,Manhattan,UN/Turtle Bay South,Yellow Zone
yellow,2,2017-04-01T00:00:04.000+08:00,2017-04-01T00:20:24.000+08:00,N,1,79,255,,,,,1,3.38,16.0,0.5,0.5,3.46,0.0,0.3,20.76,1,1,0,0,4,2017-04-01,2017,4,1,0,20,24,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,East Village,Yellow Zone,Brooklyn,Williamsburg (North Side),Boro Zone
yellow,2,2017-04-01T00:00:02.000+08:00,2017-04-01T00:26:29.000+08:00,N,1,144,25,,,,,1,3.08,18.5,0.5,0.5,3.96,0.0,0.3,23.76,1,1,0,0,2,2017-04-01,2017,4,1,0,26,29,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Little Italy/NoLiTa,Yellow Zone,Brooklyn,Boerum Hill,Boro Zone
yellow,2,2017-04-01T00:00:03.000+08:00,2017-04-01T00:24:37.000+08:00,N,1,113,141,,,,,5,4.31,18.5,0.5,0.5,3.96,0.0,0.3,23.76,1,1,0,0,3,2017-04-01,2017,4,1,0,24,37,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Lenox Hill West,Yellow Zone
yellow,1,2017-04-01T00:00:09.000+08:00,2017-04-01T00:04:13.000+08:00,N,1,132,132,,,,,1,1.6,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2,1,0,0,9,2017-04-01,2017,4,1,0,4,13,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Cash,Standard rate,Queens,JFK Airport,Airports,Queens,JFK Airport,Airports
yellow,2,2017-04-01T00:00:18.000+08:00,2017-04-01T00:05:43.000+08:00,N,1,141,237,,,,,2,0.84,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2,1,0,0,18,2017-04-01,2017,4,1,0,5,43,2017-04-01,VFI,VeriFone Inc.,Apr,April,Cash,Standard rate,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone
yellow,2,2017-04-01T00:00:19.000+08:00,2017-04-01T00:11:59.000+08:00,N,1,114,100,,,,,2,1.93,9.5,0.5,0.5,2.16,0.0,0.3,12.96,1,1,0,0,19,2017-04-01,2017,4,1,0,11,59,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Greenwich Village South,Yellow Zone,Manhattan,Garment District,Yellow Zone
yellow,1,2017-04-01T00:00:12.000+08:00,2017-04-01T00:43:13.000+08:00,N,1,163,189,,,,,1,7.8,31.5,0.5,0.5,8.2,0.0,0.3,41.0,1,1,0,0,12,2017-04-01,2017,4,1,0,43,13,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,Midtown North,Yellow Zone,Brooklyn,Prospect Heights,Boro Zone
yellow,1,2017-04-01T00:00:02.000+08:00,2017-04-01T00:09:08.000+08:00,N,1,181,61,,,,,2,1.8,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2,1,0,0,2,2017-04-01,2017,4,1,0,9,8,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Cash,Standard rate,Brooklyn,Park Slope,Boro Zone,Brooklyn,Crown Heights North,Boro Zone
yellow,1,2017-04-01T00:00:01.000+08:00,2017-04-01T00:37:05.000+08:00,N,1,230,4,,,,,2,3.3,23.5,0.5,0.5,4.95,0.0,0.3,29.75,1,1,0,0,1,2017-04-01,2017,4,1,0,37,5,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,Times Sq/Theatre District,Yellow Zone,Manhattan,Alphabet City,Yellow Zone
yellow,1,2017-04-01T00:00:09.000+08:00,2017-04-01T00:11:48.000+08:00,N,1,231,79,,,,,1,1.8,9.5,0.5,0.5,2.15,0.0,0.3,12.95,1,1,0,0,9,2017-04-01,2017,4,1,0,11,48,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,TriBeCa/Civic Center,Yellow Zone,Manhattan,East Village,Yellow Zone
yellow,2,2017-04-01T00:00:18.000+08:00,2017-04-01T00:08:30.000+08:00,N,1,148,255,,,,,1,1.99,9.0,0.5,0.5,2.06,0.0,0.3,12.36,1,1,0,0,18,2017-04-01,2017,4,1,0,8,30,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Lower East Side,Yellow Zone,Brooklyn,Williamsburg (North Side),Boro Zone
yellow,1,2017-04-01T00:00:14.000+08:00,2017-04-01T00:09:53.000+08:00,N,1,79,107,,,,,2,1.1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,1,1,0,0,14,2017-04-01,2017,4,1,0,9,53,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,East Village,Yellow Zone,Manhattan,Gramercy,Yellow Zone
yellow,1,2017-04-01T00:00:08.000+08:00,2017-04-01T00:10:01.000+08:00,N,1,234,233,,,,,1,1.4,8.5,0.5,0.5,2.0,0.0,0.3,11.8,1,1,0,0,8,2017-04-01,2017,4,1,0,10,1,2017-04-01,CMT,"Creative Mobile Technologies, LLC",Apr,April,Credit card,Standard rate,Manhattan,Union Sq,Yellow Zone,Manhattan,UN/Turtle Bay South,Yellow Zone
yellow,2,2017-04-01T00:00:08.000+08:00,2017-04-01T00:23:22.000+08:00,N,1,107,159,,,,,1,7.34,24.0,0.5,0.5,6.32,0.0,0.3,31.62,1,1,0,0,8,2017-04-01,2017,4,1,0,23,22,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Gramercy,Yellow Zone,Bronx,Melrose South,Boro Zone
yellow,2,2017-04-01T00:00:10.000+08:00,2017-04-01T00:21:39.000+08:00,N,1,142,211,,,,,2,3.79,16.5,0.5,0.5,2.67,0.0,0.3,20.47,1,1,0,0,10,2017-04-01,2017,4,1,0,21,39,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,SoHo,Yellow Zone
yellow,2,2017-04-01T00:00:04.000+08:00,2017-04-01T00:05:02.000+08:00,N,1,79,113,,,,,1,0.6,5.0,0.5,0.5,1.89,0.0,0.3,8.19,1,1,0,0,4,2017-04-01,2017,4,1,0,5,2,2017-04-01,VFI,VeriFone Inc.,Apr,April,Credit card,Standard rate,Manhattan,East Village,Yellow Zone,Manhattan,Greenwich Village North,Yellow Zone
